City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,viana do castelo,41.6932,-8.8329,286.43,79,67,5.7,PT,1714933844
1,beberibe,-4.1797,-38.1306,303.08,71,35,3.53,BR,1714933623
2,island harbour,50.724,-1.2758,287.12,77,10,2.68,GB,1714933845
3,west island,-12.1568,96.8225,300.14,83,40,5.66,CC,1714933845
4,longyearbyen,78.2186,15.6401,270.06,63,75,2.57,SJ,1714933846
5,edinburgh of the seven seas,-37.0676,-12.3116,286.99,69,18,13.39,SH,1714933847
6,bedele,8.456,36.353,291.02,57,67,2.34,ET,1714933847
7,ribeira grande,38.5167,-28.7,293.37,83,40,4.47,PT,1714933847
8,hithadhoo,-0.6,73.0833,302.65,74,99,3.38,MV,1714933569
9,puerto baquerizo moreno,-0.9,-89.6,301.7,65,20,7.72,EC,1714933848
10,harnosand,62.6323,17.9379,278.16,76,100,7.14,SE,1714933849
11,qaqortoq,60.7167,-46.0333,274.33,57,0,1.66,GL,1714933849
12,nyurba,63.2842,118.3319,265.49,99,61,1.51,RU,1714933849
13,blackmans bay,-43.0167,147.3167,283.22,75,100,2.55,AU,1714933850
14,iqaluit,63.7506,-68.5145,270.0,79,100,5.66,CA,1714933850
15,toba,34.4833,136.85,292.15,85,100,5.64,JP,1714933850
16,grytviken,-54.2811,-36.5092,275.65,97,96,2.1,GS,1714933593
17,codrington,-38.2667,141.9667,283.96,88,0,4.04,AU,1714933851
18,rio verde de mato grosso,-18.9181,-54.8442,305.6,38,1,3.98,BR,1714933851
19,port-aux-francais,-49.35,70.2167,276.9,88,93,2.65,TF,1714933591
20,waitangi,-43.9535,-176.5597,283.61,94,72,0.89,NZ,1714933852
21,papatowai,-46.5619,169.4708,282.02,70,77,6.93,NZ,1714933621
22,hawaiian paradise park,19.5933,-154.9731,294.28,96,100,3.6,US,1714933596
23,nantucket,41.2835,-70.0995,284.87,94,100,5.14,US,1714933853
24,mil'kovo,55.6078,37.7956,280.6,65,19,4.55,RU,1714933853
25,baharly,38.4362,57.4316,296.26,52,6,3.61,TM,1714933810
26,okha,53.5739,142.9478,272.73,80,7,3.13,RU,1714933677
27,isafjordur,66.0755,-23.124,278.17,75,100,4.12,IS,1714933854
28,fale old settlement,-9.3852,-171.2468,302.32,77,27,3.65,TK,1714933855
29,santa vitoria,-18.8386,-50.1214,303.71,34,1,3.49,BR,1714933847
30,thompson,55.7435,-97.8558,280.24,65,75,3.09,CA,1714933855
31,labrador city,52.9463,-66.9114,287.1,53,75,7.72,CA,1714933675
32,alta,69.9689,23.2717,272.74,77,75,6.71,NO,1714933563
33,nemuro,43.3236,145.575,279.14,100,100,2.96,JP,1714933856
34,port mathurin,-19.6833,63.4167,299.06,67,96,8.56,MU,1714933857
35,belmonte,-15.8631,-38.8828,301.23,71,6,4.34,BR,1714933857
36,isangel,-19.55,169.2667,295.21,94,75,0.0,VU,1714933858
37,invercargill,-46.4,168.35,280.94,90,100,7.15,NZ,1714933859
38,port douglas,-16.4833,145.4667,295.95,85,100,3.26,AU,1714933859
39,saipan,15.1355,145.701,300.54,78,20,5.66,MP,1714933616
40,malanje,-9.5402,16.341,291.94,66,77,1.06,AO,1714933860
41,haiku-pauwela,20.9219,-156.3051,298.27,80,20,10.8,US,1714933656
42,quellon,-43.1167,-73.6167,279.54,86,100,4.35,CL,1714933860
43,mehtar lam,34.6714,70.2094,295.95,33,0,3.75,AF,1714933861
44,albany,42.6001,-73.9662,284.36,81,100,2.24,US,1714933802
45,hobe sound,27.0595,-80.1364,304.25,60,40,7.72,US,1714933862
46,ushuaia,-54.8,-68.3,275.96,75,100,9.77,AR,1714933570
47,inarajan village,13.2736,144.7484,300.69,90,94,5.3,GU,1714933863
48,inonu,37.3167,33.7667,281.72,75,88,3.32,TR,1714933863
49,bilibino,68.0546,166.4372,263.4,77,19,1.46,RU,1714933617
50,bredasdorp,-34.5322,20.0403,287.5,75,74,1.98,ZA,1714933653
51,kalemie,-5.9475,29.1947,296.04,85,44,2.47,CD,1714933864
52,olonkinbyen,70.9221,-8.7187,274.06,90,100,9.28,SJ,1714933865
53,tazovsky,67.4667,78.7,266.85,90,100,6.85,RU,1714933865
54,udachny,66.4167,112.4,268.95,88,88,0.84,RU,1714933865
55,ust-nera,64.5667,143.2,270.73,88,71,1.02,RU,1714933599
56,mutuali,-14.8706,37.0044,292.91,76,10,1.61,MZ,1714933866
57,adamstown,-25.066,-130.1015,294.6,64,65,8.06,PN,1714933866
58,mountain home,43.133,-115.6912,282.86,52,100,1.79,US,1714933867
59,mizdah,31.4451,12.9801,296.76,19,4,7.37,LY,1714933867
60,puerto natales,-51.7236,-72.4875,276.4,56,40,7.72,CL,1714933601
61,ovalle,-30.5983,-71.2003,294.67,23,100,2.81,CL,1714933701
62,yellowknife,62.456,-114.3525,283.38,64,75,3.6,CA,1714933608
63,copala,16.65,-98.9833,303.76,54,25,4.22,MX,1714933868
64,stanley,54.868,-1.6985,286.92,83,75,3.09,GB,1714933592
65,bethel,41.3712,-73.414,283.99,87,100,2.06,US,1714933869
66,tiksi,71.6872,128.8694,263.55,99,90,1.64,RU,1714933604
67,hermanus,-34.4187,19.2345,286.37,70,58,5.96,ZA,1714933870
68,wakkanai,45.4094,141.6739,277.13,93,100,7.66,JP,1714933870
69,hadibu,12.65,54.0333,302.95,78,32,1.61,YE,1714933871
70,enewetak,11.3474,162.3373,300.7,72,74,7.63,MH,1714933622
71,port alfred,-33.5906,26.891,289.92,90,5,5.6,ZA,1714933630
72,simpang,-1.2667,104.0833,297.47,97,100,0.86,ID,1714933872
73,iskateley,67.6803,53.1512,265.94,88,74,1.79,RU,1714933872
74,sungailiat,-1.85,106.1333,299.87,87,13,2.39,ID,1714933872
75,tougue,11.4667,-11.6,306.29,20,55,1.54,GN,1714933873
76,rio grande,-32.035,-52.0986,301.21,83,81,2.95,BR,1714933750
77,karratha,-20.7377,116.8463,296.49,43,0,3.99,AU,1714933873
78,mordialloc,-38.0,145.0833,285.18,91,0,0.45,AU,1714933874
79,altay,47.8667,88.1167,289.45,20,5,5.08,CN,1714933874
80,sisimiut,66.9395,-53.6735,269.12,77,100,7.08,GL,1714933874
81,lyepyel',54.8814,28.6932,284.72,64,36,1.85,BY,1714933875
82,vadstena,58.4486,14.8897,283.13,98,100,5.65,SE,1714933875
83,nova sintra,14.8667,-24.7167,296.51,80,0,8.15,CV,1714933875
84,kodiak,57.79,-152.4072,277.88,81,100,4.12,US,1714933876
85,badger,64.8,-147.5333,284.08,50,0,3.6,US,1714933634
86,alaghsas,17.0187,8.0168,315.09,6,0,3.09,NE,1714933876
87,petropavlovsk-kamchatsky,53.0452,158.6483,274.14,78,75,3.58,RU,1714933877
88,gaya,24.7833,85.0,303.1,54,96,3.09,IN,1714933877
89,atherton,53.5237,-2.4935,291.9,80,100,1.34,GB,1714933878
90,limavady,55.0504,-6.9507,287.02,77,75,2.57,GB,1714933878
91,kapoeta,4.7717,33.5903,300.64,47,65,2.89,SS,1714933878
92,unai,-16.3575,-46.9061,302.93,42,10,3.69,BR,1714933879
93,bardai,11.65,7.2333,306.02,19,0,2.81,NG,1714933879
94,vilyuchinsk,52.9306,158.4028,274.96,83,93,1.66,RU,1714933880
95,new norfolk,-42.7826,147.0587,283.87,95,100,1.23,AU,1714933880
96,palmeira das missoes,-27.8994,-53.3136,298.21,80,0,4.45,BR,1714933866
97,sarangani,5.4033,125.4636,301.85,76,80,5.56,PH,1714933881
98,santa terezinha,-29.9002,-50.0904,296.0,89,26,4.11,BR,1714933702
99,namibe,-15.1961,12.1522,295.95,77,3,1.88,AO,1714933881
100,holualoa,19.6228,-155.9522,295.12,87,40,2.57,US,1714933625
101,san pedro,14.35,121.0167,302.77,78,20,2.68,PH,1714933882
102,port elizabeth,-33.918,25.5701,288.32,90,0,0.0,ZA,1714933883
