City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,viana do castelo,41.6932,-8.8329,13.28,79,67,5.7,PT,1714936732
1,beberibe,-4.1797,-38.1306,28.43,84,35,3.6,BR,1714936890
2,island harbour,50.724,-1.2758,13.42,76,10,1.79,GB,1714936890
3,west island,-12.1568,96.8225,26.99,83,40,6.69,CC,1714936891
4,longyearbyen,78.2186,15.6401,-3.09,68,75,2.57,SJ,1714936891
5,edinburgh of the seven seas,-37.0676,-12.3116,13.84,69,18,13.39,SH,1714936892
6,bedele,8.456,36.353,17.87,57,67,2.34,ET,1714936892
7,ribeira grande,38.5167,-28.7,19.22,82,40,4.12,PT,1714936892
8,hithadhoo,-0.6,73.0833,29.3,74,100,3.21,MV,1714936893
9,puerto baquerizo moreno,-0.9,-89.6,28.55,65,20,9.77,EC,1714936893
10,harnosand,62.6323,17.9379,4.01,76,100,7.14,SE,1714936893
11,qaqortoq,60.7167,-46.0333,1.18,57,0,1.66,GL,1714936894
12,nyurba,63.2842,118.3319,-7.66,99,61,1.51,RU,1714936894
13,blackmans bay,-43.0167,147.3167,9.07,76,100,0.89,AU,1714936894
14,iqaluit,63.7506,-68.5145,-3.15,73,100,6.17,CA,1714936895
15,toba,34.4833,136.85,19.0,85,100,5.64,JP,1714936895
16,grytviken,-54.2811,-36.5092,3.23,95,100,3.44,GS,1714936895
17,codrington,-38.2667,141.9667,10.81,88,0,4.04,AU,1714936896
18,rio verde de mato grosso,-18.9181,-54.8442,32.45,38,1,3.98,BR,1714936896
19,port-aux-francais,-49.35,70.2167,3.85,87,96,0.75,TF,1714936896
20,waitangi,-43.9535,-176.5597,10.46,94,72,0.89,NZ,1714936897
21,papatowai,-46.5619,169.4708,7.05,93,100,7.88,NZ,1714936897
22,hawaiian paradise park,19.5933,-154.9731,22.73,94,100,3.6,US,1714936897
23,nantucket,41.2835,-70.0995,11.72,90,100,5.14,US,1714936680
24,mil'kovo,55.6078,37.7956,7.27,65,19,4.55,RU,1714936898
25,baharly,38.4362,57.4316,23.11,52,6,3.61,TM,1714936898
26,okha,53.5739,142.9478,-0.42,80,8,3.13,RU,1714936899
27,isafjordur,66.0755,-23.124,2.66,91,100,4.14,IS,1714936819
28,fale old settlement,-9.3852,-171.2468,29.17,77,27,3.65,TK,1714936899
29,santa vitoria,-18.8386,-50.1214,30.56,34,1,3.49,BR,1714936900
30,thompson,55.7435,-97.8558,8.09,61,75,2.57,CA,1714936900
31,labrador city,52.9463,-66.9114,13.99,49,75,6.69,CA,1714936900
32,alta,69.9689,23.2717,-0.41,78,75,4.63,NO,1714936706
33,nemuro,43.3236,145.575,5.99,100,100,2.96,JP,1714936901
34,port mathurin,-19.6833,63.4167,25.91,67,96,8.56,MU,1714936901
35,belmonte,-15.8631,-38.8828,28.08,71,6,4.34,BR,1714936902
36,isangel,-19.55,169.2667,22.67,79,100,5.27,VU,1714936903
37,invercargill,-46.4,168.35,7.79,93,100,5.36,NZ,1714936904
38,port douglas,-16.4833,145.4667,22.8,85,100,3.26,AU,1714936904
39,saipan,15.1355,145.701,27.39,78,0,4.63,MP,1714936905
40,malanje,-9.5402,16.341,18.79,66,77,1.06,AO,1714936905
41,haiku-pauwela,20.9219,-156.3051,25.68,75,20,11.83,US,1714936906
42,quellon,-43.1167,-73.6167,6.39,86,100,4.35,CL,1714936906
